Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCZ21,10/11/2021,530,534,528.75,533,2.5,+0.47%,176670,1393217
ZCZ21,10/08/2021,533.25,538.75,530,530.5,-3.5,-0.66%,166530,1404471
ZCZ21,10/07/2021,532.75,535.25,527.5,534,1.75,+0.33%,177584,1400296
ZCZ21,10/06/2021,537,544.75,531.5,532.25,-5.25,-0.98%,211962,1398478
ZCZ21,10/05/2021,540,543,535.25,537.5,-3.25,-0.60%,213550,1397458
ZCZ21,10/04/2021,540,547.5,536,540.75,-0.75,-0.14%,218973,1405829
ZCZ21,10/01/2021,536.75,545.25,532,541.5,4.75,+0.88%,231390,1399910
ZCZ21,09/30/2021,539,548.5,527.25,536.75,-2.25,-0.42%,342167,1398058
ZCZ21,09/29/2021,533.5,541,533.5,539,6.5,+1.22%,178217,1393267
ZCZ21,09/28/2021,538.75,541.75,532,532.5,-7,-1.30%,204636,1394022
ZCZ21,09/27/2021,524.75,540,524,539.5,12.75,+2.42%,209390,1393216
ZCZ21,09/24/2021,528.5,528.75,524,526.75,-2.5,-0.47%,130202,1387616
ZCZ21,09/23/2021,524.5,531,520.25,529.25,3.75,+0.71%,134918,1382912
ZCZ21,09/22/2021,517,526.25,516,525.5,8.5,+1.64%,174413,1382652
ZCZ21,09/21/2021,522,522.75,512.75,517,-4.75,-0.91%,180531,1379770
ZCZ21,09/20/2021,527,527,515.25,521.75,-5.5,-1.04%,207248,1381869
ZCZ21,09/17/2021,529,530.5,521.75,527.25,-2.25,-0.42%,178787,1381617
ZCZ21,09/16/2021,533.5,537.5,528,529.5,-4,-0.75%,189127,1377440
ZCZ21,09/15/2021,520.75,534.5,520.5,533.5,13.25,+2.55%,261709,1383686
ZCZ21,09/14/2021,514,521.5,513,520.25,7,+1.36%,193525,1380447
ZCZ21,09/13/2021,517.5,519.75,507.5,513.25,-4.25,-0.82%,199316,1377952
ZCZ21,09/10/2021,510,524,497.5,517.5,7.5,+1.47%,442656,1379603
ZCZ21,09/09/2021,510.25,513,504.25,510,-0.25,-0.05%,314785,1384757
ZCZ21,09/08/2021,510.75,516.75,507.75,510.25,-0.5,-0.10%,268262,1387038
ZCZ21,09/07/2021,524,526.25,510.25,510.75,-13.25,-2.53%,265931,1381035
ZCZ21,09/03/2021,524.75,528,520,524,-1.5,-0.29%,214996,1371094
ZCZ21,09/02/2021,522.75,528.25,516.75,525.5,2.75,+0.53%,267397,1371426
ZCZ21,09/01/2021,534.75,536.25,518.25,522.75,-11.5,-2.15%,345043,1372901
ZCZ21,08/31/2021,542.75,545.5,525.25,534.25,-8.5,-1.57%,350477,1374654
ZCZ21,08/30/2021,553,558,536.75,542.75,-11,-1.99%,421380,1375946
ZCZ21,08/27/2021,550.75,554.5,544.25,553.75,3,+0.54%,302718,1393806
ZCZ21,08/26/2021,550,554,547.5,550.75,-1,-0.18%,229002,1431308
ZCZ21,08/25/2021,545,555.75,541,551.75,6.5,+1.19%,298704,1443949
ZCZ21,08/24/2021,537,547,536,545.25,9.75,+1.82%,291421,1443764
ZCZ21,08/23/2021,534.5,542.75,529.5,535.5,-1.5,-0.28%,226533,1447677
ZCZ21,08/20/2021,551.25,554.25,532.5,537,-13.75,-2.50%,322765,1451042
ZCZ21,08/19/2021,563,563.5,546.5,550.75,-14.25,-2.52%,300791,1440637
ZCZ21,08/18/2021,564,568.5,561.25,565,1.5,+0.27%,194252,1433552
ZCZ21,08/17/2021,571.75,573.75,561.5,563.5,-5.25,-0.92%,222715,1435341
ZCZ21,08/16/2021,573,576,564.75,568.75,-4.25,-0.74%,216196,1439668
ZCZ21,08/13/2021,572.5,582,566.25,573,-0.25,-0.04%,354537,1438087
ZCZ21,08/12/2021,557.5,594.25,551.5,573.25,14,+2.50%,846931,1449115
ZCZ21,08/11/2021,552.5,561.75,552,559.25,6,+1.08%,474768,1429087
ZCZ21,08/10/2021,552,554.75,547.5,553.25,-0.5,-0.09%,378940,1424121
ZCZ21,08/09/2021,555.25,558,549,553.75,-2.75,-0.49%,382912,1430680
ZCZ21,08/06/2021,552.75,559.75,547.25,556.5,3.5,+0.63%,396344,1442499
ZCZ21,08/05/2021,547,558,545.75,553,6.25,+1.14%,315952,1465814
ZCZ21,08/04/2021,552,556.75,541.25,546.75,-5,-0.91%,264115,1465068
ZCZ21,08/03/2021,557,565.25,547.25,551.75,-7.5,-1.34%,321591,1471063
ZCZ21,08/02/2021,545,559.75,540.75,559.25,14,+2.57%,253868,1472636
ZCZ21,07/30/2021,555,556,543.5,545.25,-11.25,-2.02%,202299,1475658
ZCZ21,07/29/2021,549,557.75,546.25,556.5,7.5,+1.37%,212588,1474056
ZCZ21,07/28/2021,551,552.5,542.75,549,2.75,+0.50%,184330,1470957
ZCZ21,07/27/2021,551.5,560.75,542.25,546.25,-0.5,-0.09%,208094,1466666
ZCZ21,07/26/2021,545,547.5,532.25,546.75,3.75,+0.69%,214440,1469430
ZCZ21,07/23/2021,561,565,540.5,543,-18.25,-3.25%,247813,1473842
ZCZ21,07/22/2021,568,568,550.75,561.25,-7.25,-1.28%,272880,1476047
ZCZ21,07/21/2021,566,573,562.75,568.5,2.75,+0.49%,256433,1478447
ZCZ21,07/20/2021,554,570.75,553.25,565.75,13.5,+2.44%,265897,1478051
ZCZ21,07/19/2021,565.5,567.5,544.5,552.25,0.25,+0.05%,237599,1477602
ZCZ21,07/16/2021,556,565.5,548.75,552,-4.25,-0.76%,250529,1484626
ZCZ21,07/15/2021,558.75,561.5,551,556.25,-2.5,-0.45%,213279,1483632
ZCZ21,07/14/2021,540.5,562.75,536.75,558.75,18,+3.33%,282181,1485291
ZCZ21,07/13/2021,531.75,547,527.5,540.75,7.75,+1.45%,282344,1494978
ZCZ21,07/12/2021,515.75,534,514.25,533,16,+3.09%,278209,1497699
ZCZ21,07/09/2021,523.5,524.25,507,517,-6.75,-1.29%,298479,1500671
ZCZ21,07/08/2021,533.5,538.25,520.25,523.75,-7.25,-1.37%,264873,1494355
ZCZ21,07/07/2021,535.75,545.25,519,531,-8.75,-1.62%,380108,1505220
ZCZ21,07/06/2021,552.25,552.25,539.75,539.75,-40,-6.90%,251994,1512738
ZCZ21,07/02/2021,587.75,597.5,573.5,579.75,-9.25,-1.57%,263776,1512011
ZCZ21,07/01/2021,594.75,611.25,584,589,0.5,+0.08%,423641,1504450
ZCZ21,06/30/2021,546.5,588.5,528.25,588.5,40,+7.29%,569601,1495750
ZCZ21,06/29/2021,548.25,559,541.5,548.5,1.25,+0.23%,352637,1485202
ZCZ21,06/28/2021,519,548.25,517.5,547.25,28,+5.39%,354929,1522357
ZCZ21,06/25/2021,535,542.25,518,519.25,-16.75,-3.13%,405417,1552931
