Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/18/2021,420,420,418.25,419.25,-0.75,-0.18%,33,1215
02/17/2021,420,420,419.25,420,0,0.00%,0,1207
02/16/2021,416,420,415.5,420,3,+0.72%,4,1207
02/12/2021,419.25,419.25,417,417,-1.25,-0.30%,2,1207
02/11/2021,416,418.25,412.5,418.25,2,+0.48%,11,1205
02/10/2021,415.25,416.5,413.75,416.25,0.5,+0.12%,92,1196
02/09/2021,419,420,414,415.75,-2.25,-0.54%,11,1133
02/08/2021,418,418,417.5,418,0.25,+0.06%,4,1129
02/05/2021,417,417.75,413.5,417.75,3.75,+0.91%,3,1125
02/04/2021,414.75,416.25,414,414,0.75,+0.18%,32,1124
02/03/2021,411.75,415.25,411.75,413.25,0,0.00%,25,1122
02/02/2021,414,414.75,413.25,413.25,0.75,+0.18%,3,1112
02/01/2021,412.5,412.5,412.5,412.5,1.5,+0.36%,0,1112
01/29/2021,406.25,411,400.25,411,3.5,+0.86%,202,1112
01/28/2021,408.5,408.5,407.5,407.5,-0.25,-0.06%,1,1109
01/27/2021,410,412,407.75,407.75,-2.5,-0.61%,7,1108
01/26/2021,410.25,411,407.5,410.25,2.5,+0.61%,3,1110
01/25/2021,404.25,409.25,404.25,407.75,2,+0.49%,5,1113
01/22/2021,411,411,405,405.75,-6,-1.46%,12,1115
01/21/2021,412.5,413,411.75,411.75,0.25,+0.06%,13,1106
01/20/2021,410,412,409.75,411.5,0.5,+0.12%,120,1107
01/19/2021,411.25,413.5,411,411,2.5,+0.61%,3,1126
01/15/2021,408,410.5,408,408.5,1.25,+0.31%,67,1126
01/14/2021,405,407.5,405,407.25,1.25,+0.31%,20,1087
01/13/2021,409,412,405,406,-4.25,-1.04%,22,1079
01/12/2021,409,412,409,410.25,1.5,+0.37%,17,1070
01/11/2021,409,409.25,408,408.75,-0.25,-0.06%,12,1073
01/08/2021,409.5,410,408.75,409,-1,-0.24%,25,1073
01/07/2021,409.25,410,408,410,0,0.00%,11,1079
01/06/2021,408,410,408,410,3,+0.74%,72,1085
01/05/2021,406,407,406,407,3,+0.74%,11,1039
01/04/2021,404.75,405.5,404,404,-0.75,-0.19%,16,1041
12/31/2020,404,406,404,404.75,0.25,+0.06%,45,1033
12/30/2020,400,404.75,400,404.5,3.75,+0.94%,44,1027
12/29/2020,400.25,401.25,400.25,400.75,0.25,+0.06%,7,996
12/28/2020,400.5,400.5,400.5,400.5,0.75,+0.19%,0,998
12/24/2020,399,400,399,399.75,2,+0.50%,79,998
12/23/2020,397.5,398,397.5,397.75,0.5,+0.13%,53,1024
12/22/2020,398,398,397.25,397.25,-1.25,-0.31%,63,989
12/21/2020,399.5,399.5,398,398.5,0,0.00%,43,949
12/18/2020,398.25,398.5,398.25,398.5,0.5,+0.13%,8,929
12/17/2020,396.5,399.25,396.5,398,0.75,+0.19%,2,929
12/16/2020,397.25,397.25,397.25,397.25,1.5,+0.38%,1,930
12/15/2020,395.75,395.75,395.75,395.75,0.25,+0.06%,0,930
12/14/2020,395.5,395.5,395.25,395.5,-0.25,-0.06%,0,930
12/11/2020,395,395.75,395,395.75,-0.25,-0.06%,6,930
12/10/2020,395.5,396.25,395,396,2.25,+0.57%,71,930
12/09/2020,393.75,393.75,393.75,393.75,0.25,+0.06%,0,881
12/08/2020,393.5,393.5,393.5,393.5,-1.25,-0.32%,0,881
12/07/2020,393.75,394.75,393,394.75,1.75,+0.45%,1,881
12/04/2020,393,393,393,393,0,0.00%,2,880
12/03/2020,393,393,393,393,0.75,+0.19%,0,878
12/02/2020,392.25,392.25,392.25,392.25,0,0.00%,0,878
12/01/2020,394.5,394.5,392.25,392.25,0,0.00%,37,878
11/30/2020,392.25,392.25,392.25,392.25,-4.5,-1.13%,0,906
11/27/2020,396.75,396.75,396.75,396.75,1.5,+0.38%,0,906
11/25/2020,395.25,395.25,395.25,395.25,0.5,+0.13%,0,906
11/24/2020,396.75,396.75,394.75,394.75,-1,-0.25%,27,906
11/23/2020,397,397,395.75,395.75,1.25,+0.32%,67,899
11/20/2020,399.75,400,394.5,394.5,-1.75,-0.44%,7,843
11/19/2020,396.25,396.25,396.25,396.25,-2,-0.50%,0,841
11/18/2020,398.5,398.5,398.25,398.25,3.5,+0.89%,10,841
11/17/2020,394.75,394.75,394.75,394.75,0,0.00%,3,833
11/16/2020,394.75,394.75,394.75,394.75,1,+0.25%,0,835
11/13/2020,393.75,393.75,393.75,393.75,1.25,+0.32%,0,835
11/12/2020,392.75,392.75,392.5,392.5,-1.75,-0.44%,17,835
11/11/2020,396.75,396.75,392.75,394.25,-1.75,-0.44%,6,834
11/10/2020,395,398,395,396,3.25,+0.83%,8,832
11/09/2020,392.75,392.75,391.25,392.75,1,+0.26%,6,834
11/06/2020,394,394,391.75,391.75,-0.5,-0.13%,2,837
11/05/2020,392.25,392.25,392.25,392.25,2.25,+0.58%,0,837
11/04/2020,391.5,392,390,390,-0.5,-0.13%,18,837
11/03/2020,391,391,390.25,390.5,1.75,+0.45%,9,821
11/02/2020,391,391,388.75,388.75,-2.5,-0.64%,18,817
10/30/2020,391.25,391.75,391,391.25,0,0.00%,30,830
10/29/2020,391,391.5,391,391.25,0.5,+0.13%,8,842
10/28/2020,390.75,390.75,390,390.75,-1.25,-0.32%,83,843
10/27/2020,392.5,392.5,392,392,0.5,+0.13%,5,850
10/26/2020,391.5,391.5,391.25,391.5,-1.5,-0.38%,5,850
10/23/2020,393,393,393,393,-1.25,-0.32%,1,850
10/22/2020,395.25,395.25,393.75,394.25,-0.75,-0.19%,6,850
10/21/2020,395.5,396.5,395,395,-0.75,-0.19%,14,850
