Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/02/2021,485.5,485.5,481.25,481.25,-4,-0.82%,4,138
09/01/2021,489.75,494,485.25,485.25,-2.75,-0.56%,27,137
08/31/2021,490,493,488,488,-0.5,-0.10%,32,122
08/30/2021,488.5,488.5,488.5,488.5,-3.25,-0.66%,0,101
08/27/2021,491.75,491.75,491.75,491.75,-0.25,-0.05%,0,101
08/26/2021,492,492,492,492,-6.25,-1.25%,0,101
08/25/2021,498.25,498.25,498.25,498.25,10.5,+2.15%,0,101
08/24/2021,487.75,487.75,487.75,487.75,8.25,+1.72%,0,101
08/23/2021,479.5,479.5,479.5,479.5,1.25,+0.26%,0,101
08/20/2021,478.25,478.25,478.25,478.25,-6.75,-1.39%,2,101
08/19/2021,490,490,485,485,-5.25,-1.07%,2,101
08/18/2021,490.25,490.25,490.25,490.25,2.75,+0.56%,0,100
08/17/2021,487.5,487.5,487.5,487.5,-1.75,-0.36%,0,100
08/16/2021,489.25,489.25,489.25,489.25,1.25,+0.26%,0,100
08/13/2021,488,488,488,488,0.75,+0.15%,0,100
08/12/2021,487.25,487.25,487.25,487.25,1.75,+0.36%,0,100
08/11/2021,485.5,485.5,485.5,485.5,1.5,+0.31%,0,100
08/10/2021,484,484,484,484,-2.5,-0.51%,0,100
08/09/2021,486.5,486.5,486.5,486.5,0.25,+0.05%,0,100
08/06/2021,475.25,486.25,475.25,486.25,8.75,+1.83%,1,100
08/05/2021,477.5,477.5,477.5,477.5,0.5,+0.10%,6,99
08/04/2021,477,477,477,477,0.5,+0.10%,0,100
08/03/2021,476.5,476.5,476.5,476.5,0,0.00%,0,100
08/02/2021,476.5,476.5,476.5,476.5,4.75,+1.01%,0,100
07/30/2021,473,473,471,471.75,-5,-1.05%,6,100
07/29/2021,476.75,476.75,476.75,476.75,5,+1.06%,0,94
07/28/2021,471.75,471.75,471.75,471.75,0.75,+0.16%,0,94
07/27/2021,471,471,471,471,-0.5,-0.11%,0,94
07/26/2021,471.5,471.5,471.5,471.5,6.5,+1.40%,0,94
07/23/2021,465,465,465,465,-5.5,-1.17%,0,94
07/22/2021,470.5,470.5,470.5,470.5,-0.75,-0.16%,0,94
07/21/2021,471.25,471.25,471.25,471.25,-0.25,-0.05%,0,94
07/20/2021,467.75,471.5,467.75,471.5,6,+1.29%,3,94
07/19/2021,465.5,465.5,465.5,465.5,-1.25,-0.27%,0,94
07/16/2021,467.75,467.75,466.75,466.75,-0.25,-0.05%,1,94
07/15/2021,467,467,467,467,2.25,+0.48%,0,94
07/14/2021,464.75,464.75,464.75,464.75,0,0.00%,0,94
07/13/2021,464.75,464.75,464.75,464.75,3.5,+0.76%,0,94
07/12/2021,461.25,461.25,461.25,461.25,11.75,+2.61%,0,94
07/09/2021,449.5,449.5,449.5,449.5,0.25,+0.06%,0,94
07/08/2021,449.25,449.25,449.25,449.25,-0.75,-0.17%,1,94
07/07/2021,450,450,450,450,3.5,+0.78%,0,94
07/06/2021,446.5,446.5,446.5,446.5,-20.75,-4.44%,3,94
07/02/2021,467.25,467.25,467.25,467.25,-1,-0.21%,0,94
07/01/2021,468.25,468.25,468.25,468.25,-1.75,-0.37%,0,94
06/30/2021,470,470,470,470,19,+4.21%,0,94
06/29/2021,451,451,451,451,-2,-0.44%,0,94
06/28/2021,453,453,453,453,16.5,+3.78%,0,94
06/25/2021,436.5,436.5,436.5,436.5,-9,-2.02%,0,94
06/24/2021,445.5,445.5,445.5,445.5,-2,-0.45%,0,94
06/23/2021,447.5,447.5,447.5,447.5,2,+0.45%,0,94
06/22/2021,445.5,445.5,445.5,445.5,-9,-1.98%,0,94
06/21/2021,454.5,454.5,454.5,454.5,5.25,+1.17%,0,94
06/18/2021,449.25,449.25,449.25,449.25,20.75,+4.84%,0,94
06/17/2021,428.5,428.5,428.5,428.5,-26.75,-5.88%,0,94
06/16/2021,464,464,455.25,455.25,-6.75,-1.46%,1,94
06/15/2021,462,462,462,462,-3.25,-0.70%,0,95
06/14/2021,465.25,465.25,465.25,465.25,-13.25,-2.77%,0,95
06/11/2021,478.5,478.5,478.5,478.5,-1.25,-0.26%,0,95
06/10/2021,479.75,479.75,479.75,479.75,2.75,+0.58%,0,95
06/09/2021,477,477,477,477,2.5,+0.53%,0,95
06/08/2021,474.5,474.5,474.5,474.5,3,+0.64%,0,95
06/07/2021,471.5,471.5,471.5,471.5,4.5,+0.96%,0,95
06/04/2021,467,467,467,467,4.25,+0.92%,1,95
06/03/2021,462.75,462.75,462.75,462.75,0.75,+0.16%,0,96
06/02/2021,462,462,462,462,-1.75,-0.38%,0,96
06/01/2021,463.75,463.75,463.75,463.75,10.5,+2.32%,0,96
05/28/2021,453.25,453.25,453.25,453.25,-4.75,-1.04%,0,96
05/27/2021,458,458,458,458,18.75,+4.27%,0,96
05/26/2021,439.25,439.25,439.25,439.25,3.5,+0.80%,0,96
05/25/2021,435.75,435.75,435.75,435.75,-8.25,-1.86%,0,96
05/24/2021,444,444,444,444,-5,-1.11%,0,96
05/21/2021,448,449,448,449,-3.75,-0.83%,1,96
05/20/2021,452.75,452.75,452.75,452.75,4.25,+0.95%,0,96
05/19/2021,448.5,448.5,448.5,448.5,1.25,+0.28%,0,96
05/18/2021,447.25,447.25,447.25,447.25,9,+2.05%,0,96
05/17/2021,435.25,438.25,435.25,438.25,2.25,+0.52%,4,96
05/14/2021,436,436,436,436,-13.5,-3.00%,0,93
05/13/2021,449.5,449.5,449.5,449.5,-22.75,-4.82%,1,93
05/12/2021,472.25,472.25,472.25,472.25,-8.5,-1.77%,0,93
05/11/2021,480.75,480.75,480.75,480.75,-1.25,-0.26%,0,93
05/10/2021,482,482,482,482,-8.5,-1.73%,0,93
05/07/2021,490.5,490.5,490.5,490.5,-3.25,-0.66%,0,93
05/06/2021,493.75,493.75,493.75,493.75,-2.75,-0.55%,0,93
05/05/2021,496.5,496.5,496.5,496.5,5.25,+1.07%,0,93
05/04/2021,486,491.25,486,491.25,11.5,+2.40%,1,93
05/03/2021,479.75,479.75,479.75,479.75,-2.25,-0.47%,4,94
04/30/2021,482,482,482,482,5.75,+1.21%,0,92
04/29/2021,476.25,476.25,476.25,476.25,-0.25,-0.05%,0,92
04/28/2021,476.5,476.5,476.5,476.5,-4.5,-0.94%,0,92
04/27/2021,481,481,481,481,-4.25,-0.88%,0,92
04/26/2021,485.25,485.25,485.25,485.25,8,+1.68%,0,92
04/23/2021,477.25,477.25,477.25,477.25,-2.25,-0.47%,0,92
04/22/2021,479.5,479.5,479.5,479.5,7,+1.48%,0,92
04/21/2021,472.5,472.5,472.5,472.5,2,+0.43%,0,92
04/20/2021,470.5,470.5,470.5,470.5,5.5,+1.18%,0,92
04/19/2021,465,465,465,465,4,+0.87%,0,92
04/16/2021,461,461,461,461,0.75,+0.16%,0,92
