Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,507,509.5,493.5,494.5,-12,-2.37%,106324,0
07/06/2023,495.75,508.25,492.5,506.5,13,+2.63%,136367,540079
07/05/2023,504,504,485.5,493.5,0,0.00%,189309,530982
07/03/2023,492.25,505,488.75,493.5,-1.25,-0.25%,183951,520351
06/30/2023,532,537.5,493,494.75,-33.75,-6.39%,379665,513634
06/29/2023,539,543.25,526.25,528.5,-8.25,-1.54%,179685,509906
06/28/2023,562,562.5,534,536.75,-24.25,-4.32%,243428,504223
06/27/2023,593.75,594.5,555,561,-27.25,-4.63%,232955,507972
06/26/2023,594,600.75,575.5,588.25,0.25,+0.04%,196161,518076
06/23/2023,616.5,616.75,583.5,588,-32.75,-5.28%,253030,502009
06/22/2023,624.75,626.5,613.25,620.75,-8,-1.27%,191572,510186
06/21/2023,609,629.75,604.5,628.75,31.25,+5.23%,253488,515683
06/20/2023,600,609,588.5,597.5,0,0.00%,234223,496446
06/16/2023,573.5,598,572.5,597.5,23,+4.00%,294484,484253
06/15/2023,549.75,575,549.75,574.5,25.25,+4.60%,217470,461709
06/14/2023,547.25,553,542.5,549.25,-2,-0.36%,142562,443935
06/13/2023,549,559.5,543.25,551.25,2,+0.36%,155485,440502
06/12/2023,537,550.75,536.75,549.25,18.75,+3.53%,145022,429032
06/09/2023,531.75,533,523,530.5,-2.5,-0.47%,98794,415436
06/08/2023,526,533.5,520.25,533,2.25,+0.42%,122928,410087
06/07/2023,539,542,528.25,530.75,-10.25,-1.89%,100587,401761
06/06/2023,540.5,546.75,533,541,4,+0.74%,129403,401579
06/05/2023,543,548,535.25,537,-4.25,-0.79%,100989,397953
06/02/2023,529.75,541.75,523.5,541.25,11.25,+2.12%,115614,396405
06/01/2023,520.5,536.5,520,530,8.25,+1.58%,90885,394279
05/31/2023,526.5,526.5,511.25,521.75,-3.5,-0.67%,78869,387955
05/30/2023,534.25,536.25,517.25,525.25,-9.25,-1.73%,111900,384504
05/26/2023,515.5,535.75,514.25,534.5,18.5,+3.59%,125466,388761
05/25/2023,520,523.25,513.5,516,-4,-0.77%,69495,388073
05/24/2023,517.25,527.25,515.5,520,3.25,+0.63%,105773,386162
05/23/2023,509,519.5,504.75,516.75,7.75,+1.52%,81700,384881
05/22/2023,499,510,496.75,509,9.25,+1.85%,75167,383211
05/19/2023,500,510.75,498.5,499.75,-1,-0.20%,126067,380222
05/18/2023,499,502.5,490.75,500.75,1.75,+0.35%,120709,376445
05/17/2023,507,507.75,494,499,-6.25,-1.24%,137156,382586
05/16/2023,515.25,517.5,501,505.25,-9.75,-1.89%,87616,381817
05/15/2023,505,516.25,503.25,515,6.25,+1.23%,82633,377375
05/12/2023,512.25,519.25,504,508.75,-5,-0.97%,104082,371802
05/11/2023,518.75,519.25,512.5,513.75,-7,-1.34%,72029,365063
05/10/2023,518.25,521.25,512.25,520.75,2.5,+0.48%,95614,364249
05/09/2023,527.5,528,516.25,518.25,-11.5,-2.17%,87204,356928
05/08/2023,534.75,537,526.75,529.75,-5,-0.94%,69930,356393
05/05/2023,528.5,537,528.5,534.75,6.25,+1.18%,70798,354568
05/04/2023,531,533.25,522.75,528.5,-2,-0.38%,83007,358250
05/03/2023,518.5,531,512.5,530.5,10.75,+2.07%,91177,345682
05/02/2023,525,530.25,518,519.75,-5.5,-1.05%,88262,342139
05/01/2023,529.75,529.75,520,525.25,-2.5,-0.47%,70569,343822
04/28/2023,530.75,532.75,521.5,527.75,-3,-0.57%,101402,339505
04/27/2023,543.5,544,530.25,530.75,-12.75,-2.35%,117283,338301
04/26/2023,549,550,543,543.5,-4.75,-0.87%,49210,334385
04/25/2023,550,550,541.75,548.25,0.75,+0.14%,56692,333734
04/24/2023,548,551,542.5,547.5,-0.5,-0.09%,77453,333355
04/21/2023,557.5,559.25,546.5,548,-9.5,-1.70%,75558,329487
04/20/2023,562,563.5,554,557.5,-5.5,-0.98%,60645,326481
04/19/2023,571,571.25,562.25,563,-8,-1.40%,51990,320822
04/18/2023,565.75,571,564.75,571,4.25,+0.75%,49153,318318
04/17/2023,559.75,566.75,558.25,566.75,6.75,+1.21%,52272,312410
04/14/2023,553.5,560.5,551.25,560,6.25,+1.13%,45577,310548
04/13/2023,555,557.5,551.5,553.75,-1.75,-0.32%,38762,305475
04/12/2023,557.5,561,555,555.5,-3.75,-0.67%,37618,304118
04/11/2023,562.5,565.5,554.5,559.25,-3.5,-0.62%,36415,304389
04/10/2023,555.5,563.5,550.5,562.75,6,+1.08%,33150,302390
04/06/2023,559.25,560.5,555.25,556.75,-4,-0.71%,37057,297943
04/05/2023,560.5,563.75,556.25,560.75,0.75,+0.13%,37057,292199
