Time,Open,High,Low,Last,Change,%Chg,Volume
"07/05/2023 23:30",495.25,495.25,494.75,495,-0.25,-0.05%,116
"07/05/2023 23:00",495.25,495.5,494.75,495.25,-0.25,-0.05%,172
"07/05/2023 22:30",496.25,496.5,495.25,495.5,-0.75,-0.15%,168
"07/05/2023 22:00",496.25,496.75,496.25,496.25,-0.25,-0.05%,179
"07/05/2023 21:30",496,496.5,495.75,496.5,0.5,+0.10%,268
"07/05/2023 21:00",496,496.25,494.5,496,0,0.00%,690
"07/05/2023 20:30",495.5,496.5,495.5,496,0.25,+0.05%,351
"07/05/2023 20:00",494.5,496.5,494.5,495.75,1.5,+0.30%,503
"07/05/2023 19:30",495.25,496,494,494.25,-0.75,-0.15%,669
"07/05/2023 19:00",495.75,497,493,495,0.75,+0.15%,2546
"07/05/2023 13:00",498,498.25,492.25,494.25,-3.75,-0.75%,16495
"07/05/2023 12:30",497,500,496.75,498,0.75,+0.15%,7294
"07/05/2023 12:00",496.75,498.25,496,497.25,0.5,+0.10%,5841
"07/05/2023 11:30",496,498.25,494.5,496.75,0.75,+0.15%,5889
"07/05/2023 11:00",491.75,497,491.5,496,4.25,+0.86%,11012
"07/05/2023 10:30",488,492,486.5,491.75,3.75,+0.77%,7477
"07/05/2023 10:00",487.75,490,487.5,488,0.25,+0.05%,7633
"07/05/2023 09:30",486.5,490.25,485.5,487.75,1.25,+0.26%,14790
"07/05/2023 09:00",498,498.75,486.5,486.5,-11.25,-2.26%,25773
"07/05/2023 08:30",504,504,495.25,497.75,4.5,+0.91%,33448
"07/03/2023 13:00",496,496,492.75,493.25,-2.5,-0.50%,13608
"07/03/2023 12:30",497.75,498.75,495.5,495.75,-1.75,-0.35%,4650
"07/03/2023 12:00",498.75,499,496.75,497.5,-1.25,-0.25%,4681
"07/03/2023 11:30",498.75,500.5,498.25,498.75,-0.25,-0.05%,5361
"07/03/2023 11:00",497.5,500,495,499,1.5,+0.30%,7959
"07/03/2023 10:30",497.25,500,495.5,497.5,0.5,+0.10%,5527
"07/03/2023 10:00",496.75,499,496,497,0.25,+0.05%,7698
"07/03/2023 09:30",499,499,493.25,496.75,-2.25,-0.45%,11472
"07/03/2023 09:00",499.25,500.5,495.5,499,-0.25,-0.05%,11608
"07/03/2023 08:30",499,504.25,498.25,499.25,0,0.00%,21932
"07/03/2023 07:30",501.25,501.5,498.75,499.25,-2,-0.40%,1264
"07/03/2023 07:00",499.25,504.5,499,501.25,2.25,+0.45%,4130
"07/03/2023 06:30",501.25,503,498.5,499,-2.5,-0.50%,2247
"07/03/2023 06:00",503.5,504,496.25,501.5,-2.25,-0.45%,3352
"07/03/2023 05:30",502.5,504,502,503.75,1.25,+0.25%,749
"07/03/2023 05:00",502.25,503,501,502.5,0.5,+0.10%,1496
"07/03/2023 04:30",503,505,501.75,502,-0.75,-0.15%,2191
"07/03/2023 04:00",498.75,502.75,498,502.75,4,+0.80%,2374
"07/03/2023 03:30",499.5,499.5,496.75,498.75,-0.5,-0.10%,1444
"07/03/2023 03:00",498.25,499.25,497.25,499.25,1,+0.20%,956
"07/03/2023 02:30",496.75,499.25,496,498.25,1.5,+0.30%,1076
"07/03/2023 02:00",498.25,499,496.5,496.75,-1.75,-0.35%,861
"07/03/2023 01:30",496.5,499.25,496.25,498.5,2.25,+0.45%,739
"07/03/2023 01:00",497,499.25,495.5,496.25,-0.75,-0.15%,1056
"07/03/2023 00:30",497.25,499.5,497,497,-0.25,-0.05%,883
"07/03/2023 00:00",499.5,499.75,496.5,497.25,-2.25,-0.45%,624
"07/02/2023 23:30",499,499.5,498,499.5,0.25,+0.05%,316
"07/02/2023 23:00",499.25,499.75,499,499.25,0,0.00%,358
"07/02/2023 22:30",498.75,499.5,498,499.25,0.5,+0.10%,413
"07/02/2023 22:00",498.5,499.25,498,498.75,0.25,+0.05%,550
"07/02/2023 21:30",496.5,498.75,496.25,498.5,2,+0.40%,919
"07/02/2023 21:00",496,496.75,494.75,496.5,0.5,+0.10%,1457
"07/02/2023 20:30",492.75,496,492.75,496,3.25,+0.66%,2882
"07/02/2023 20:00",490,492.75,490,492.75,2.5,+0.51%,1516
"07/02/2023 19:30",490.75,492,489.5,490.25,-0.5,-0.10%,2868
